Year,Diseases Name,State,Deaths,Age-adjusted Death Rate
2005,Cancer,Pondicherry,9820,164.2
2004,Cancer,Pondicherry,9618,167.5
2003,Cancer,Pondicherry,9627,173
2002,Cancer,Pondicherry,9359,173.2
2001,Cancer,Pondicherry,9143,173.8
2000,Cancer,Pondicherry,9073,177.9
1999,Cancer,Pondicherry,9006,179.9
2016,Cancer,Jharkhand,6612,178.8
2015,Cancer,Jharkhand,6727,185.4
2014,Cancer,Jharkhand,6546,183.1
2013,Cancer,Jharkhand,6688,190
2012,Cancer,Jharkhand,6540,189.1
2011,Cancer,Jharkhand,6497,191.1
2010,Cancer,Jharkhand,6475,194.7
2009,Cancer,Jharkhand,6513,198.3
2008,Cancer,Jharkhand,6526,201.4
2007,Cancer,Jharkhand,6388,201.3
2006,Cancer,Jharkhand,6177,196.7
2005,Cancer,Jharkhand,6361,207.7
2004,Cancer,Jharkhand,6304,208.6
2003,Cancer,Jharkhand,6119,205.1
2002,Cancer,Jharkhand,6282,212.8
2001,Cancer,Jharkhand,6092,208.8
2000,Cancer,Jharkhand,6090,210.5
1999,Cancer,Jharkhand,6137,214.1
2016,Cancer,Karnataka,59515,139.7
2015,Cancer,Karnataka,59629,142.8
2014,Cancer,Karnataka,58412,144.1
2013,Cancer,Karnataka,57714,147
2012,Cancer,Karnataka,57676,150.9
2011,Cancer,Karnataka,56449,152
2010,Cancer,Karnataka,56453,156.9
2009,Cancer,Karnataka,55991,158.8
2008,Cancer,Karnataka,54686,158.8
2007,Cancer,Karnataka,55011,163.8
2006,Cancer,Karnataka,54140,164.5
2005,Cancer,Karnataka,54732,168.9
2004,Cancer,Karnataka,53700,169.2
2003,Cancer,Karnataka,54319,174
2002,Cancer,Karnataka,54143,177.3
2001,Cancer,Karnataka,53924,180.2
2000,Cancer,Karnataka,53158,182.1
1999,Cancer,Karnataka,53067,184.9
2016,Cancer,Punjab,7928,137.1
2015,Cancer,Punjab,7604,134.4
2014,Cancer,Punjab,7405,136
2013,Cancer,Punjab,7357,139.2
2012,Cancer,Punjab,7306,143.1
2011,Cancer,Punjab,7051,143.9
2010,Cancer,Punjab,7035,149.5
2009,Cancer,Punjab,6950,151.4
2008,Cancer,Punjab,6719,150.9
2007,Cancer,Punjab,6617,154.1
2006,Cancer,Punjab,6550,157.5
2005,Cancer,Punjab,6395,159.7
2004,Cancer,Punjab,6196,159.4
2003,Cancer,Punjab,6417,169.4
2002,Cancer,Punjab,6384,173.7
2001,Cancer,Punjab,6145,170.9
2000,Cancer,Punjab,5922,170
1999,Cancer,Punjab,5863,171.1
2016,Cancer,Assam,6696,144.9
2015,Cancer,Assam,6666,146.2
2014,Cancer,Assam,6621,146.7
2013,Cancer,Assam,6619,148.4
2012,Cancer,Assam,6681,152
2011,Cancer,Assam,6837,158.4
2010,Cancer,Assam,6954,163.4
2009,Cancer,Assam,6819,162.8
2008,Cancer,Assam,6830,164.8
2007,Cancer,Assam,6827,167.2
2006,Cancer,Assam,7044,175.5
2005,Cancer,Assam,7052,176.8
2004,Cancer,Assam,7175,182.4
2003,Cancer,Assam,7131,183
2002,Cancer,Assam,7163,186.3
2001,Cancer,Assam,7093,187.6
2000,Cancer,Assam,7065,189.5
1999,Cancer,Assam,7054,191
2016,Cancer,Bihar,2124,170.8
2015,Cancer,Bihar,2010,165.6
2014,Cancer,Bihar,1972,167.3
2013,Cancer,Bihar,1905,167.6
2012,Cancer,Bihar,1935,177
2011,Cancer,Bihar,1906,179.8
2010,Cancer,Bihar,1909,185.7
2009,Cancer,Bihar,1813,178.7
2008,Cancer,Bihar,1912,193.3
2007,Cancer,Bihar,1853,193.5
2006,Cancer,Bihar,1780,190.7
2005,Cancer,Bihar,1799,199.1
2004,Cancer,Bihar,1827,208.3
2003,Cancer,Bihar,1719,201.5
2002,Cancer,Bihar,1621,194.8
2001,Cancer,Bihar,1786,221
2000,Cancer,Bihar,1609,203.3
1999,Cancer,Bihar,1737,223.3
2016,Cancer,Haryana,1044,160.1
2015,Cancer,Haryana,1072,167.5
2014,Cancer,Haryana,1116,178.6
2013,Cancer,Haryana,1095,178.2
2012,Cancer,Haryana,1081,178.8
2011,Cancer,Haryana,1070,180.7
2010,Cancer,Haryana,1041,178.3
2009,Cancer,Haryana,1131,197.4
2008,Cancer,Haryana,1143,201.6
2007,Cancer,Haryana,1169,208.2
2006,Cancer,Haryana,1178,210.5
2005,Cancer,Haryana,1151,205.3
2004,Cancer,Haryana,1152,206.4
2003,Cancer,Haryana,1122,200.9
2002,Cancer,Haryana,1298,231.8
2001,Cancer,Haryana,1327,237.5
2000,Cancer,Haryana,1335,238.3
1999,Cancer,Haryana,1340,241.4
2016,Cancer,Jammmu and Kashmir,44266,146.9
2015,Cancer,Jammmu and Kashmir,44027,150.6
2014,Cancer,Jammmu and Kashmir,43212,152.9
2013,Cancer,Jammmu and Kashmir,42735,155.9
2012,Cancer,Jammmu and Kashmir,42188,158.8
2011,Cancer,Jammmu and Kashmir,41681,161.2
2010,Cancer,Jammmu and Kashmir,41467,165.6
2009,Cancer,Jammmu and Kashmir,40932,166.6
2008,Cancer,Jammmu and Kashmir,40814,169.5
2007,Cancer,Jammmu and Kashmir,40088,169.8
2006,Cancer,Jammmu and Kashmir,40415,174.6
2005,Cancer,Jammmu and Kashmir,40592,178.4
2004,Cancer,Jammmu and Kashmir,39840,179.4
2003,Cancer,Jammmu and Kashmir,39404,181.7
2002,Cancer,Jammmu and Kashmir,39140,183.8
2001,Cancer,Jammmu and Kashmir,39090,187.4
2000,Cancer,Jammmu and Kashmir,39183,191.6
1999,Cancer,Jammmu and Kashmir,38478,190.6
2016,Cancer,Gujrat,17184,160.2
2015,Cancer,Gujrat,16945,163
2014,Cancer,Gujrat,16684,165.5
2013,Cancer,Gujrat,16417,167.7
2012,Cancer,Gujrat,16021,169.1
2011,Cancer,Gujrat,15602,170.3
2010,Cancer,Gujrat,15435,174.8
2009,Cancer,Gujrat,15143,175.6
2008,Cancer,Gujrat,14621,175.1
2007,Cancer,Gujrat,14983,185.5
2006,Cancer,Gujrat,14474,184
2005,Cancer,Gujrat,14358,189.9
2004,Cancer,Gujrat,14313,195.5
2003,Cancer,Gujrat,14032,196.3
2002,Cancer,Gujrat,13975,200
2001,Cancer,Gujrat,13818,202.8
2000,Cancer,Gujrat,13690,206.7
1999,Cancer,Gujrat,13225,202.3
2016,Cancer,Odisha,2401,128.7
2015,Cancer,Odisha,2462,135.3
2014,Cancer,Odisha,2493,140
2013,Cancer,Odisha,2332,135.5
2012,Cancer,Odisha,2284,134.5
2011,Cancer,Odisha,2278,138.1
2010,Cancer,Odisha,2266,140.9
2009,Cancer,Odisha,2244,141.3
2008,Cancer,Odisha,2194,142.5
2007,Cancer,Odisha,2214,148
2006,Cancer,Odisha,2171,147.8
2005,Cancer,Odisha,2169,151.3
2004,Cancer,Odisha,2088,150.5
2003,Cancer,Odisha,2133,157.4
2002,Cancer,Odisha,1945,147.2
2001,Cancer,Odisha,2024,157.2
2000,Cancer,Odisha,1943,155.7
1999,Cancer,Odisha,1916,156.6
2016,Cancer,Kerala,2884,150.9
2015,Cancer,Kerala,2849,153.6
2014,Cancer,Kerala,2795,155.4
2013,Cancer,Kerala,2707,156.2
2012,Cancer,Kerala,2572,152
2011,Cancer,Kerala,2573,157.4
2010,Cancer,Kerala,2530,159.9
2009,Cancer,Kerala,2458,158.9
2008,Cancer,Kerala,2511,166.7
2007,Cancer,Kerala,2405,166.3
2006,Cancer,Kerala,2306,163.2
2005,Cancer,Kerala,2368,174.6
2004,Cancer,Kerala,2227,169.6
2003,Cancer,Kerala,2321,181.8
2002,Cancer,Kerala,2138,172.3
2001,Cancer,Kerala,2093,172.8
2000,Cancer,Kerala,2128,180.6
1999,Cancer,Kerala,2162,186.4
2016,Cancer,Madhya Pradesh,24389,163.5
2015,Cancer,Madhya Pradesh,24713,167.6
2014,Cancer,Madhya Pradesh,24501,168.9
2013,Cancer,Madhya Pradesh,24491,171.9
2012,Cancer,Madhya Pradesh,24562,175.6
2011,Cancer,Madhya Pradesh,24007,175
2010,Cancer,Madhya Pradesh,24070,178.6
2009,Cancer,Madhya Pradesh,24185,181.8
2008,Cancer,Madhya Pradesh,24300,185
2007,Cancer,Madhya Pradesh,24115,186.6
2006,Cancer,Madhya Pradesh,24084,188.7
2005,Cancer,Madhya Pradesh,24250,192.1
2004,Cancer,Madhya Pradesh,24289,194.8
2003,Cancer,Madhya Pradesh,24464,198.2
2002,Cancer,Madhya Pradesh,24737,202.8
2001,Cancer,Madhya Pradesh,24778,205.1
2000,Cancer,Madhya Pradesh,25365,212
1999,Cancer,Madhya Pradesh,25024,210.4
2016,Cancer,Manipur,13424,172.5
2015,Cancer,Manipur,13511,176.3
2014,Cancer,Manipur,13519,179.7
2013,Cancer,Manipur,13258,179.5
2012,Cancer,Manipur,13368,184.4
2011,Cancer,Manipur,13180,185.4
2010,Cancer,Manipur,13164,188.6
2009,Cancer,Manipur,13093,190.4
2008,Cancer,Manipur,13137,194.3
2007,Cancer,Manipur,12778,192.6
2006,Cancer,Manipur,12903,197.5
2005,Cancer,Manipur,12796,199.8
2004,Cancer,Manipur,12552,199.1
2003,Cancer,Manipur,12933,207.5
2002,Cancer,Manipur,12865,209.7
2001,Cancer,Manipur,12831,211.9
2000,Cancer,Manipur,12842,214.7
1999,Cancer,Manipur,12898,217.4
2016,Cancer,Nagaland,6432,159.8
2015,Cancer,Nagaland,6513,164.1
2014,Cancer,Nagaland,6504,166
2013,Cancer,Nagaland,6509,168.4
2012,Cancer,Nagaland,6438,168.6
2011,Cancer,Nagaland,6481,173.1
2010,Cancer,Nagaland,6358,171.9
2009,Cancer,Nagaland,6249,170.4
2008,Cancer,Nagaland,6424,177.1
2007,Cancer,Nagaland,6376,176.8
2006,Cancer,Nagaland,6359,179
2005,Cancer,Nagaland,6453,183.7
2004,Cancer,Nagaland,6340,182.3
2003,Cancer,Nagaland,6469,187.8
2002,Cancer,Nagaland,6473,189.3
2001,Cancer,Nagaland,6404,188.9
2000,Cancer,Nagaland,6448,191.7
1999,Cancer,Nagaland,6346,189.1
2016,Cancer,Rajasthan,5484,158.6
2015,Cancer,Rajasthan,5604,164.6
2014,Cancer,Rajasthan,5587,166.8
2013,Cancer,Rajasthan,5379,163.1
2012,Cancer,Rajasthan,5429,168.2
2011,Cancer,Rajasthan,5440,170.3
2010,Cancer,Rajasthan,5377,171.3
2009,Cancer,Rajasthan,5319,171.9
2008,Cancer,Rajasthan,5294,173.1
2007,Cancer,Rajasthan,5406,179.2
2006,Cancer,Rajasthan,5343,180.1
2005,Cancer,Rajasthan,5428,185.6
2004,Cancer,Rajasthan,5312,183.1
2003,Cancer,Rajasthan,5332,185.9
2002,Cancer,Rajasthan,5362,188.7
2001,Cancer,Rajasthan,5448,193.8
2000,Cancer,Rajasthan,5223,187
1999,Cancer,Rajasthan,5334,192.4
2016,Cancer,Sikkim,10363,193.8
2015,Cancer,Sikkim,10312,195.9
2014,Cancer,Sikkim,10263,198.8
2013,Cancer,Sikkim,10085,199.3
2012,Cancer,Sikkim,10012,201.5
2011,Cancer,Sikkim,9733,200.8
2010,Cancer,Sikkim,9930,208.3
2009,Cancer,Sikkim,9634,204.9
2008,Cancer,Sikkim,9589,207.8
2007,Cancer,Sikkim,9692,214.7
2006,Cancer,Sikkim,9394,212
2005,Cancer,Sikkim,9505,219.1
2004,Cancer,Sikkim,9159,215.5
2003,Cancer,Sikkim,9378,223.7
2002,Cancer,Sikkim,9438,228.6
2001,Cancer,Sikkim,9358,229.7
2000,Cancer,Sikkim,9207,228.7
1999,Cancer,Sikkim,8925,224.2
2016,Cancer,Tamil Nadu,9149,171.9
2015,Cancer,Tamil Nadu,9397,180.2
2014,Cancer,Tamil Nadu,9455,186.1
2013,Cancer,Tamil Nadu,9419,188.5
2012,Cancer,Tamil Nadu,9308,190.7
2011,Cancer,Tamil Nadu,9233,193.7
2010,Cancer,Tamil Nadu,9203,197.6
2009,Cancer,Tamil Nadu,9098,198.6
2008,Cancer,Tamil Nadu,9197,205.7
2007,Cancer,Tamil Nadu,8736,199.3
2006,Cancer,Tamil Nadu,8853,206.1
2005,Cancer,Tamil Nadu,9249,208.6
2004,Cancer,Tamil Nadu,9434,216.3
2003,Cancer,Tamil Nadu,9533,221.8
2002,Cancer,Tamil Nadu,9441,222.8
2001,Cancer,Tamil Nadu,9517,228
2000,Cancer,Tamil Nadu,9400,227.9
1999,Cancer,Tamil Nadu,9412,230.5
2016,Cancer,Uttar Pradesh,3275,168.9
2015,Cancer,Uttar Pradesh,3398,178
2014,Cancer,Uttar Pradesh,3209,170.3
2013,Cancer,Uttar Pradesh,3227,175.2
2012,Cancer,Uttar Pradesh,3226,179.3
2011,Cancer,Uttar Pradesh,3201,182.2
2010,Cancer,Uttar Pradesh,3248,187.9
2009,Cancer,Uttar Pradesh,3133,185.2
2008,Cancer,Uttar Pradesh,3093,185
2007,Cancer,Uttar Pradesh,3112,189.9
2006,Cancer,Uttar Pradesh,3089,192.7
2005,Cancer,Uttar Pradesh,3218,204.8
2004,Cancer,Uttar Pradesh,3124,202.2
2003,Cancer,Uttar Pradesh,3120,205.4
2002,Cancer,Uttar Pradesh,3206,214.9
2001,Cancer,Uttar Pradesh,3045,208.3
2000,Cancer,Uttar Pradesh,3070,213.6
1999,Cancer,Uttar Pradesh,3035,214.6
2016,Cancer,Delhi,10911,156.5
2015,Cancer,Delhi,10568,155
2014,Cancer,Delhi,10759,161.7
2013,Cancer,Delhi,10609,162.9
2012,Cancer,Delhi,10525,165.6
2011,Cancer,Delhi,10249,166.1
2010,Cancer,Delhi,10269,171.2
2009,Cancer,Delhi,10412,176.7
2008,Cancer,Delhi,10360,180.1
2007,Cancer,Delhi,10179,180.5
2006,Cancer,Delhi,10350,187
2005,Cancer,Delhi,10371,190.4
2004,Cancer,Delhi,10168,190.5
2003,Cancer,Delhi,10292,196.4
2002,Cancer,Delhi,10395,202.2
2001,Cancer,Delhi,10322,205.4
2000,Cancer,Delhi,10290,209.7
1999,Cancer,Delhi,10143,209.5
2016,Cancer,Maharashtra,12717,150.2
2015,Cancer,Maharashtra,12750,152.9
2014,Cancer,Maharashtra,12787,155.5
2013,Cancer,Maharashtra,12858,159.6
2012,Cancer,Maharashtra,12864,163.3
2011,Cancer,Maharashtra,12895,166.9
2010,Cancer,Maharashtra,12993,171.3
2009,Cancer,Maharashtra,13112,175.5
2008,Cancer,Maharashtra,13031,177.2
2007,Cancer,Maharashtra,13003,179.5
2006,Cancer,Maharashtra,13407,187.5
2005,Cancer,Maharashtra,13182,186.3
2004,Cancer,Maharashtra,13337,190.1
2003,Cancer,Maharashtra,13551,194.6
2002,Cancer,Maharashtra,13914,201.4
2001,Cancer,Maharashtra,13750,201.2
2000,Cancer,Maharashtra,14027,207.2
1999,Cancer,Maharashtra,13853,206.4
2016,Cancer,West Bengal,20870,166.4
2015,Cancer,West Bengal,20732,168
2014,Cancer,West Bengal,21169,174.1
2013,Cancer,West Bengal,20367,170.5
2012,Cancer,West Bengal,20496,174.8
2011,Cancer,West Bengal,20420,177.8
2010,Cancer,West Bengal,20620,182.9
2009,Cancer,West Bengal,20257,182.2
2008,Cancer,West Bengal,20211,184.4
2007,Cancer,West Bengal,20087,186.4
2006,Cancer,West Bengal,20192,190.5
2005,Cancer,West Bengal,20094,192.6
2004,Cancer,West Bengal,19653,190.9
2003,Cancer,West Bengal,19713,194.1
2002,Cancer,West Bengal,19985,199.9
2001,Cancer,West Bengal,19689,199.9
2000,Cancer,West Bengal,19798,204
1999,Cancer,West Bengal,19744,205.2
2016,Cancer,Chandigarh,19523,161.6
2015,Cancer,Chandigarh,19322,164.7
2014,Cancer,Chandigarh,19342,169.3
2013,Cancer,Chandigarh,18589,167.6
2012,Cancer,Chandigarh,18405,170.2
2011,Cancer,Chandigarh,18284,175
2010,Cancer,Chandigarh,18061,179
2009,Cancer,Chandigarh,17513,176.9
2008,Cancer,Chandigarh,17453,181.3
2007,Cancer,Chandigarh,17478,187.1
2006,Cancer,Chandigarh,17318,191.4
2005,Cancer,Chandigarh,16724,191.2
2004,Cancer,Chandigarh,16477,193.7
2003,Cancer,Chandigarh,16145,193.9
2002,Cancer,Chandigarh,16210,199.9
2001,Cancer,Chandigarh,16065,202.7
2000,Cancer,Chandigarh,15786,204.2
1999,Cancer,Chandigarh,15815,207.1
2016,Cancer,Lakshadweep,25509,173.4
2015,Cancer,Lakshadweep,25396,175.1
2014,Cancer,Lakshadweep,25433,177.8
2013,Cancer,Lakshadweep,24986,177.6
2012,Cancer,Lakshadweep,25261,182.7
2011,Cancer,Lakshadweep,25140,184.9
2010,Cancer,Lakshadweep,25083,187.7
2009,Cancer,Lakshadweep,25149,190.5
2008,Cancer,Lakshadweep,24998,191.9
2007,Cancer,Lakshadweep,25230,196.3
2006,Cancer,Lakshadweep,24975,197.3
2005,Cancer,Lakshadweep,24702,198.1
2004,Cancer,Lakshadweep,24940,202.1
2003,Cancer,Lakshadweep,25076,205.3
2002,Cancer,Lakshadweep,25173,209
2001,Cancer,Lakshadweep,24804,208.4
2000,Cancer,Lakshadweep,24988,212
1999,Cancer,Lakshadweep,25233,215.4
2016,Cancer,Goa,8115,177.8
2015,Cancer,Goa,8280,184.3
2014,Cancer,Goa,7934,179.9
2013,Cancer,Goa,8039,185.7
2012,Cancer,Goa,8040,189.9
2011,Cancer,Goa,7997,191.1
2010,Cancer,Goa,7831,191.3
2009,Cancer,Goa,7639,189.2
2008,Cancer,Goa,7657,193.1
2007,Cancer,Goa,7727,198.5
2006,Cancer,Goa,7491,195.2
2005,Cancer,Goa,7446,198
2004,Cancer,Goa,7269,196
2003,Cancer,Goa,7338,199.8
2002,Cancer,Goa,7474,205.7
2001,Cancer,Goa,7411,206.3
2000,Cancer,Goa,7402,207.4
1999,Cancer,Goa,7312,206.7
2016,Japanese Encephalitis,Andhra Pradesh,3326,56.2
2015,Japanese Encephalitis,Andhra Pradesh,3279,56.4
2014,Japanese Encephalitis,Andhra Pradesh,3050,53.6
2013,Japanese Encephalitis,Andhra Pradesh,3043,54.8
2012,Japanese Encephalitis,Andhra Pradesh,3015,55.2
2011,Japanese Encephalitis,Andhra Pradesh,2912,55.2
2010,Japanese Encephalitis,Andhra Pradesh,2866,55.4
2009,Japanese Encephalitis,Andhra Pradesh,2770,54.2
2008,Japanese Encephalitis,Andhra Pradesh,2733,54.2
2007,Japanese Encephalitis,Andhra Pradesh,2530,51.3
2006,Japanese Encephalitis,Andhra Pradesh,2309,47.6
2005,Japanese Encephalitis,Andhra Pradesh,2382,50.1
2004,Japanese Encephalitis,Andhra Pradesh,2361,50.2
2003,Japanese Encephalitis,Andhra Pradesh,2434,52.4
2002,Japanese Encephalitis,Andhra Pradesh,2328,50.7
2001,Japanese Encephalitis,Andhra Pradesh,2204,48.3
2000,Japanese Encephalitis,Andhra Pradesh,2057,45.5
1999,Japanese Encephalitis,Andhra Pradesh,2179,48.6
2016,Japanese Encephalitis,Arunachal Pradesh,238,41.5
2015,Japanese Encephalitis,Arunachal Pradesh,204,37.8
2014,Japanese Encephalitis,Arunachal Pradesh,192,38.8
2013,Japanese Encephalitis,Arunachal Pradesh,197,37.9
2012,Japanese Encephalitis,Arunachal Pradesh,189,40.9
2011,Japanese Encephalitis,Arunachal Pradesh,194,41.8
2010,Japanese Encephalitis,Arunachal Pradesh,176,41.5
2009,Japanese Encephalitis,Arunachal Pradesh,196,49.7
2008,Japanese Encephalitis,Arunachal Pradesh,181,44.6
2007,Japanese Encephalitis,Arunachal Pradesh,175,45.5
2006,Japanese Encephalitis,Arunachal Pradesh,140,37.8
2005,Japanese Encephalitis,Arunachal Pradesh,158,42.7
2004,Japanese Encephalitis,Arunachal Pradesh,139,39.5
2003,Japanese Encephalitis,Arunachal Pradesh,147,46.9
2002,Japanese Encephalitis,Arunachal Pradesh,142,47.5
2001,Japanese Encephalitis,Arunachal Pradesh,147,49.9
2000,Japanese Encephalitis,Arunachal Pradesh,132,47.6
1999,Japanese Encephalitis,Arunachal Pradesh,146,56.4
2016,Japanese Encephalitis,Pondicherry,3800,43.5
2015,Japanese Encephalitis,Pondicherry,3681,43.8
2014,Japanese Encephalitis,Pondicherry,3396,42.2
2013,Japanese Encephalitis,Pondicherry,3345,43.5
2012,Japanese Encephalitis,Pondicherry,3221,43.6
2011,Japanese Encephalitis,Pondicherry,3166,44.5
2010,Japanese Encephalitis,Pondicherry,2926,43.1
2009,Japanese Encephalitis,Pondicherry,2839,42.7
2008,Japanese Encephalitis,Pondicherry,2939,45.5
2007,Japanese Encephalitis,Pondicherry,2686,42.9
2006,Japanese Encephalitis,Pondicherry,2799,46
2005,Japanese Encephalitis,Pondicherry,2821,48
2004,Japanese Encephalitis,Pondicherry,2416,42.9
2003,Japanese Encephalitis,Pondicherry,2560,46.5
2002,Japanese Encephalitis,Pondicherry,2575,48.4
2001,Japanese Encephalitis,Pondicherry,2499,47.7
2000,Japanese Encephalitis,Pondicherry,2508,49.3
1999,Japanese Encephalitis,Pondicherry,2553,51.2
2016,Japanese Encephalitis,Jharkhand,2169,59.1
2015,Japanese Encephalitis,Jharkhand,2270,62.4
2014,Japanese Encephalitis,Jharkhand,2092,58.9
2013,Japanese Encephalitis,Jharkhand,2090,60.1
2012,Japanese Encephalitis,Jharkhand,1910,55.8
2011,Japanese Encephalitis,Jharkhand,1985,58.9
2010,Japanese Encephalitis,Jharkhand,1773,53.5
2009,Japanese Encephalitis,Jharkhand,1831,56.2
2008,Japanese Encephalitis,Jharkhand,1887,58.7
2007,Japanese Encephalitis,Jharkhand,1656,52.6
2006,Japanese Encephalitis,Jharkhand,1498,48.1
2005,Japanese Encephalitis,Jharkhand,1559,51.1
2004,Japanese Encephalitis,Jharkhand,1428,47.4
2003,Japanese Encephalitis,Jharkhand,1500,50.1
2002,Japanese Encephalitis,Jharkhand,1441,48.5
2001,Japanese Encephalitis,Jharkhand,1368,46.5
2000,Japanese Encephalitis,Jharkhand,1405,48
1999,Japanese Encephalitis,Jharkhand,1358,46.8
2016,Japanese Encephalitis,Karnataka,13710,32.6
2015,Japanese Encephalitis,Karnataka,13621,33.1
2014,Japanese Encephalitis,Karnataka,12780,32
2013,Japanese Encephalitis,Karnataka,13598,35.3
2012,Japanese Encephalitis,Karnataka,12963,34.5
2011,Japanese Encephalitis,Karnataka,13357,36.7
2010,Japanese Encephalitis,Karnataka,12987,37
2009,Japanese Encephalitis,Karnataka,12936,37.5
2008,Japanese Encephalitis,Karnataka,13426,39.9
2007,Japanese Encephalitis,Karnataka,12532,38.3
2006,Japanese Encephalitis,Karnataka,12829,40.1
2005,Japanese Encephalitis,Karnataka,13188,41.8
2004,Japanese Encephalitis,Karnataka,12522,40.6
2003,Japanese Encephalitis,Karnataka,13448,44.2
2002,Japanese Encephalitis,Karnataka,12684,42.6
2001,Japanese Encephalitis,Karnataka,12965,44.4
2000,Japanese Encephalitis,Karnataka,12756,44.6
1999,Japanese Encephalitis,Karnataka,13165,46.9
2016,Japanese Encephalitis,Punjab,2575,46.4
2015,Japanese Encephalitis,Punjab,2577,47.8
2014,Japanese Encephalitis,Punjab,2451,47.2
2013,Japanese Encephalitis,Punjab,2297,45.9
2012,Japanese Encephalitis,Punjab,2239,46.7
2011,Japanese Encephalitis,Punjab,2151,46.4
2010,Japanese Encephalitis,Punjab,2199,49.7
2009,Japanese Encephalitis,Punjab,2073,47.8
2008,Japanese Encephalitis,Punjab,2188,52.5
2007,Japanese Encephalitis,Punjab,2002,49.4
2006,Japanese Encephalitis,Punjab,1932,49.3
2005,Japanese Encephalitis,Punjab,1914,50.9
2004,Japanese Encephalitis,Punjab,1899,51.8
2003,Japanese Encephalitis,Punjab,1931,54
2002,Japanese Encephalitis,Punjab,1848,53
2001,Japanese Encephalitis,Punjab,1836,53.9
2000,Japanese Encephalitis,Punjab,1787,53.9
1999,Japanese Encephalitis,Punjab,1894,58.1
2016,Japanese Encephalitis,Assam,1425,30.5
2015,Japanese Encephalitis,Assam,1369,29.7
2014,Japanese Encephalitis,Assam,1368,30.2
2013,Japanese Encephalitis,Assam,1348,29.7
2012,Japanese Encephalitis,Assam,1387,30.9
2011,Japanese Encephalitis,Assam,1415,32.1
2010,Japanese Encephalitis,Assam,1289,29.4
2009,Japanese Encephalitis,Assam,1448,33.5
2008,Japanese Encephalitis,Assam,1505,35.3
2007,Japanese Encephalitis,Assam,1353,32.3
2006,Japanese Encephalitis,Assam,1458,35
2005,Japanese Encephalitis,Assam,1471,36.1
2004,Japanese Encephalitis,Assam,1432,35.4
2003,Japanese Encephalitis,Assam,1445,36.1
2002,Japanese Encephalitis,Assam,1453,36.9
2001,Japanese Encephalitis,Assam,1486,38.2
2000,Japanese Encephalitis,Assam,1533,40.1
1999,Japanese Encephalitis,Assam,1435,37.8
2016,Japanese Encephalitis,Bihar,544,43.7
2015,Japanese Encephalitis,Bihar,510,42.5
2014,Japanese Encephalitis,Bihar,458,40.2
2013,Japanese Encephalitis,Bihar,482,43.5
2012,Japanese Encephalitis,Bihar,420,39.1
2011,Japanese Encephalitis,Bihar,460,44.8
2010,Japanese Encephalitis,Bihar,441,44
2009,Japanese Encephalitis,Bihar,428,43.4
2008,Japanese Encephalitis,Bihar,472,48.9
2007,Japanese Encephalitis,Bihar,379,40.5
2006,Japanese Encephalitis,Bihar,344,37.9
2005,Japanese Encephalitis,Bihar,411,46.8
2004,Japanese Encephalitis,Bihar,345,40.4
2003,Japanese Encephalitis,Bihar,339,40.6
2002,Japanese Encephalitis,Bihar,350,43.3
2001,Japanese Encephalitis,Bihar,306,38.3
2000,Japanese Encephalitis,Bihar,341,44
1999,Japanese Encephalitis,Bihar,327,42.7
2016,Japanese Encephalitis,Haryana,152,24
2015,Japanese Encephalitis,Haryana,147,23.4
2014,Japanese Encephalitis,Haryana,136,21.9
2013,Japanese Encephalitis,Haryana,150,25
2012,Japanese Encephalitis,Haryana,139,23.5
2011,Japanese Encephalitis,Haryana,151,25.4
2010,Japanese Encephalitis,Haryana,147,25.7
2009,Japanese Encephalitis,Haryana,136,24.5
2008,Japanese Encephalitis,Haryana,139,25.2
2007,Japanese Encephalitis,Haryana,129,23.5
2006,Japanese Encephalitis,Haryana,126,23.1
2005,Japanese Encephalitis,Haryana,132,24
2004,Japanese Encephalitis,Haryana,165,29.7
2003,Japanese Encephalitis,Haryana,137,24.7
2002,Japanese Encephalitis,Haryana,133,23.7
2001,Japanese Encephalitis,Haryana,150,26.8
2000,Japanese Encephalitis,Haryana,175,31.3
1999,Japanese Encephalitis,Haryana,166,29.9
2016,Japanese Encephalitis,Jammmu and Kashmir,11970,38
2015,Japanese Encephalitis,Jammmu and Kashmir,11705,38.4
2014,Japanese Encephalitis,Jammmu and Kashmir,11178,38
2013,Japanese Encephalitis,Jammmu and Kashmir,11379,39.9
2012,Japanese Encephalitis,Jammmu and Kashmir,10585,38.4
2011,Japanese Encephalitis,Jammmu and Kashmir,10279,38.5
2010,Japanese Encephalitis,Jammmu and Kashmir,10337,40.1
2009,Japanese Encephalitis,Jammmu and Kashmir,10182,40.3
2008,Japanese Encephalitis,Jammmu and Kashmir,10198,41.1
2007,Japanese Encephalitis,Jammmu and Kashmir,9357,38.6
2006,Japanese Encephalitis,Jammmu and Kashmir,8912,37.5
2005,Japanese Encephalitis,Jammmu and Kashmir,9482,40.4
2004,Japanese Encephalitis,Jammmu and Kashmir,8971,39.1
2003,Japanese Encephalitis,Jammmu and Kashmir,9087,40.4
2002,Japanese Encephalitis,Jammmu and Kashmir,9062,40.9
2001,Japanese Encephalitis,Jammmu and Kashmir,8954,41.2
2000,Japanese Encephalitis,Jammmu and Kashmir,8645,40.3
